city,industry_type,application_scene,industry_priority,material_demand,description,data_source,data_status,public_evidence_ids
青岛,海洋装备产业,海洋装备,高,"耐盐雾、耐磨、耐湿热表面防护材料","面向海洋装备结构件、连接件和运动部件的耐腐蚀涂层筛选；当前公共数据仅能支撑新材料企业供给侧，不能直接证明海洋装备需求强度。","原型产业规则 + 山东公共数据开放网产业目录","青岛海洋装备需求仍需继续接入青岛市级港口、海洋、装备制造明细数据","SDOD-006"
青岛,港口装备产业,港口机械,高,"耐盐雾、耐磨、抗冲蚀涂层","港口机械暴露在盐雾、颗粒磨损和高频维护环境中，需要兼顾防护、成本和可施工性。","山东公共数据开放网目录证据 + 原型产业规则","已补充公共数据目录证据，港口作业数据需进一步接入青岛市级开放平台","SDOD-006"
青岛,海上能源装备,海上风电设备,中,"耐盐雾、耐疲劳、耐湿热涂层","海上风电零部件需要长期服役稳定性和海洋环境适配性，当前仅作为场景假设保留。","原型产业规则","尚无可直接支撑该场景的公共数据证据，需后续补充项目/企业数据",""
烟台,海上能源装备,海上风电设备,高,"耐盐雾、耐湿热、耐冲蚀涂层","烟台港口、船舶运输和新材料技术合同目录共同支撑其海洋装备与材料研发场景。","山东公共数据开放网目录证据 + 原型产业规则","已补充公共数据目录证据，适合作为机会识别线索而非性能结论","SDOD-003;SDOD-004;SDOD-005"
烟台,船舶装备产业,船舶装备,中,"耐海水、低毒、耐磨涂层","营运船舶统计和港口经营许可目录为船舶装备防护材料需求提供公开来源线索。","山东公共数据开放网目录证据 + 原型产业规则","已补充公共数据目录证据，船舶部件和服役环境需后续细化","SDOD-003;SDOD-004"
烟台,新材料研发服务,新材料技术合同,中,"耐腐蚀、热管理、阻燃与表面工程材料","新材料及其应用技术合同登记信息可作为烟台材料研发活动的补充证据。","山东公共数据开放网目录证据 + 原型产业规则","目录级证据，需下载合同登记明细并去敏复核后才能用于正式结论","SDOD-005"
威海,海洋牧场装备,海洋牧场装备,高,"耐海水、低毒、抗生物附着候选涂层","海洋生产总值、水产苗种、渔船和港口基本信息共同支撑威海海洋经济与养殖装备场景。","山东公共数据开放网目录证据 + 原型产业规则","已补充公共数据目录证据，材料需求仍需结合设备类型人工确认","SDOD-001;SDOD-002;SDOD-008;SDOD-009"
威海,船舶配套产业,船舶配套,中,"低毒、耐盐雾、耐磨涂层","渔船检验、渔船拥有量和船舶安全检查目录说明船舶相关管理数据充足，可支撑船舶配套需求识别。","山东公共数据开放网目录证据 + 原型产业规则","已补充公共数据目录证据，不代表具体企业采购需求","SDOD-002;SDOD-008"
威海,生态环境与监测装备,海水环境装备,中,"耐海水、耐湿热、稳定涂层","生态环境监测、排污许可和水质月报目录为环境暴露与低污染要求提供补充证据。","山东公共数据开放网目录证据 + 原型产业规则","已补充公共数据目录证据，环境风险等级需实测值校准","SDOD-010;SDOD-011;SDOD-012"
日照,港口装备产业,港口机械,高,"耐磨、耐盐雾、耐污染涂层","日照以港口物流和沿海运输为核心场景，适合关注耐磨、低维护、可规模化施工的防护材料；当前仍属于待公共数据验证的场景假设。","原型产业规则","尚无可直接支撑该场景的公共数据证据，港口吞吐量和设备清单需继续从市级平台下载核验",""
日照,海洋运输装备,海洋运输装备,中,"耐海水、耐盐雾、防护涂层","沿海运输装备关注海水暴露、维护便利性和成本约束；当前仍属于待公共数据验证的场景假设。","原型产业规则","尚无可直接支撑该场景的公共数据证据，仍需具体船舶/运输企业数据",""
日照,钢铁装备防护,钢铁装备防护,高,"耐磨、耐热、耐工业污染涂层","钢铁与港口复合场景下需要耐磨、耐污染和可规模化的表面防护体系；当前仍属于待公共数据验证的场景假设。","原型产业规则","尚无可直接支撑该场景的公共数据证据，工业污染强度需接入排污和环境监测明细",""
